,brand,vintage,rating,price,num_ratings,location
264,Azienda Santa Barbara - Stefano Antonucci,Mossone 2018,4.5,55,53,"Marche, Italy"
265,Duemani,Duemani Cabernet Franc 2018,4.5,169.99,53,"Costa Toscana, Italy"
266,Matarromera,Ribera del Duero Prestigio Pago de las Solanas 2010,4.5,299,51,"Ribera del Duero, Spain"
267,Joseph Drouhin,Corton-Charlemagne Grand Cru 2018,4.5,285,50,"Corton-Charlemagne Grand Cru, France"
268,Lan,Culmen Reserva Rioja 2017,4.5,77.99,49,"Rioja, Spain"
269,Alex Gambal,Saint-Aubin 1er Cru 'Les Murgers des Dents de Chien' 2014,4.5,69.99,47,"Saint-Aubin 1er Cru 'Les Murgers des Dents de Chien', France"
270,Pegau,Châteauneuf-du-Pape Cuvée Laurence 2017,4.5,119.99,46,"Châteauneuf-du-Pape, France"
271,Dominio del Águila,Canta la Perdiz 2015,4.5,399.99,45,"Ribera del Duero, Spain"
272,Cascina Chicco,Barolo Riserva Ginestra 2009,4.5,148.99,42,"Barolo, Italy"
273,Feudo Montoni,Vrucara Nero d'Avola 2017,4.5,57.99,42,"Sicilia, Italy"
274,Castello di Ama,Vigneto La Casuccia Chianti Classico Gran Selezione 2015,4.5,204.50,42,"Chianti Classico, Italy"
